Month,DayofMonth,DayOfWeek,FlightDate,AirlineID,Carrier,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,Diverted,ActualElapsedTime,AirTime,Distance,departure,arrival,origin_airport_code,departureDelay,lon_origin,lat_origin,dest_airport_code,arrivalDelay,lon_dest,lat_dest,Year,id
4,10,4,2008-04-10,19790,DL,75,ATL,LAX,1705,1702,-3.00,0.00,0,19.00,1721,1901,5.00,1857,1906,9.00,9.00,0,0,0,304.00,280.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1186379935
5,30,5,2008-05-30,19805,AA,972,MIA,LAX,2105,2102,-3.00,0.00,0,11.00,2113,2315,16.00,2345,2331,-14.00,0.00,0,0,0,329.00,302.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,177124785
4,23,3,2008-04-23,19790,DL,110,ATL,LAX,834,834,0.00,0.00,0,31.00,905,1028,11.00,1019,1039,20.00,20.00,1,0,0,305.00,263.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-74753795
4,16,3,2008-04-16,19790,DL,35,ATL,LAX,950,948,-2.00,0.00,0,27.00,1015,1125,3.00,1140,1128,-12.00,0.00,0,0,0,280.00,250.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-2011142781
4,19,6,2008-04-19,19790,DL,75,ATL,LAX,1705,1702,-3.00,0.00,0,16.00,1718,1903,7.00,1857,1910,13.00,13.00,0,0,0,308.00,285.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,775906215
5,31,6,2008-05-31,19805,AA,972,MIA,LAX,2105,2103,-2.00,0.00,0,20.00,2123,2329,13.00,2345,2342,-3.00,0.00,0,0,0,339.00,306.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-1222101269
5,21,3,2008-05-21,19805,AA,203,MIA,LAX,1535,1534,-1.00,0.00,0,17.00,1551,1801,5.00,1803,1806,3.00,3.00,0,0,0,332.00,310.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-1985979805
5,22,4,2008-05-22,19805,AA,299,MIA,LAX,815,815,0.00,0.00,0,15.00,830,1036,8.00,1055,1044,-11.00,0.00,0,0,0,329.00,306.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,138778406
4,17,4,2008-04-17,20437,FL,50,ATL,LAX,2020,2014,-6.00,0.00,0,18.00,2032,2235,9.00,2220,2244,24.00,24.00,1,0,0,330.00,303.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1984067778
9,20,6,2008-09-20,20355,US,14,PHX,JFK,1214,1212,-2.00,0.00,0,18.00,1230,1954,23.00,2000,2017,17.00,17.00,1,0,0,305.00,264.00,2153.00,1,1,PHX,8.996600,-112.01,33.44,JFK,10.002426,-73.78,40.64,2008,-105288268
