Month,DayofMonth,DayOfWeek,FlightDate,AirlineID,Carrier,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,Diverted,ActualElapsedTime,AirTime,Distance,departure,arrival,origin_airport_code,departureDelay,lon_origin,lat_origin,dest_airport_code,arrivalDelay,lon_dest,lat_dest,Year,id
5,23,5,2008-05-23,19805,AA,231,LAX,MIA,600,557,-3.00,0.00,0,30.00,627,1351,10.00,1347,1401,14.00,14.00,0,0,0,304.00,264.00,2342.00,1,1,LAX,7.999641,-118.41,33.94,MIA,7.791123,-80.29,25.79,2008,-1811425469
5,15,4,2008-05-15,19805,AA,1254,LAX,MIA,2150,2224,34.00,34.00,1,25.00,2249,621,9.00,540,630,50.00,50.00,1,0,0,306.00,272.00,2342.00,1,1,LAX,7.999641,-118.41,33.94,MIA,7.791123,-80.29,25.79,2008,-2000792868
5,3,6,2008-05-03,19805,AA,280,LAX,MIA,820,815,-5.00,0.00,0,14.00,829,1532,4.00,1610,1536,-34.00,0.00,0,0,0,261.00,243.00,2342.00,1,1,LAX,7.999641,-118.41,33.94,MIA,7.791123,-80.29,25.79,2008,1102418061
5,21,3,2008-05-21,19805,AA,276,LAX,MIA,2300,2258,-2.00,0.00,0,16.00,2314,638,6.00,650,644,-6.00,0.00,0,0,0,286.00,264.00,2342.00,1,1,LAX,7.999641,-118.41,33.94,MIA,7.791123,-80.29,25.79,2008,1608851778
5,24,6,2008-05-24,19805,AA,202,LAX,MIA,710,710,0.00,0.00,0,19.00,729,1514,5.00,1500,1519,19.00,19.00,1,0,0,309.00,285.00,2342.00,1,1,LAX,7.999641,-118.41,33.94,MIA,7.791123,-80.29,25.79,2008,-1457043920
5,24,6,2008-05-24,19805,AA,280,LAX,MIA,820,819,-1.00,0.00,0,12.00,831,1609,8.00,1610,1617,7.00,7.00,0,0,0,298.00,278.00,2342.00,1,1,LAX,7.999641,-118.41,33.94,MIA,7.791123,-80.29,25.79,2008,1848010499
1,19,6,2008-01-19,19805,AA,1118,DFW,STL,1040,1036,-4.00,0.00,0,20.00,1056,1206,2.00,1220,1208,-12.00,0.00,0,0,0,92.00,70.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,1585365899
1,24,4,2008-01-24,19805,AA,892,DFW,STL,2125,2133,8.00,8.00,0,13.00,2146,2256,2.00,2300,2258,-2.00,0.00,0,0,0,85.00,70.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,1427587658
1,29,2,2008-01-29,19805,AA,1118,DFW,STL,1040,1035,-5.00,0.00,0,18.00,1053,1202,6.00,1220,1208,-12.00,0.00,0,0,0,93.00,69.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-120126789
1,21,1,2008-01-21,19805,AA,1336,DFW,STL,705,659,-6.00,0.00,0,10.00,709,826,3.00,845,829,-16.00,0.00,0,0,0,90.00,77.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-1817181560
1,22,2,2008-01-22,19805,AA,1030,DFW,STL,945,940,-5.00,0.00,0,13.00,953,1106,4.00,1120,1110,-10.00,0.00,0,0,0,90.00,73.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-32522206
1,10,4,2008-01-10,19805,AA,1578,DFW,STL,1320,1316,-4.00,0.00,0,16.00,1332,1442,4.00,1455,1446,-9.00,0.00,0,0,0,90.00,70.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-1898304158
1,16,3,2008-01-16,19805,AA,1578,DFW,STL,1320,1316,-4.00,0.00,0,15.00,1331,1446,6.00,1455,1452,-3.00,0.00,0,0,0,96.00,75.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,2040794671
